,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
293,El Colegio de México,world rank  1689,"Camino al Ajusco 20
Mexico City
10740 Mexico City
Mexico",+52 (55) 5449 3000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,Asociación Nacional de Universidades e Instituciones de Educación Superior (ANUIES),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing']"
294,El Colegio de Sonora,world rank  7350,"Avenida Obregón No. 54, Colonia Centro
Hermosillo
83000 Sonora
Mexico",+52 (662) 259 5300,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
295,El Colegio Mexiquense A.C.,world rank  7937,"Ex-Hacienda Santa Cruz de los Patos Zinacantepec
Zinacantepec
51350 Estado de Mexico
Mexico",+52 (722) 279 9908,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
296,Eldaein University,world rank  13316,"Ed Daein
East Darfur
Sudan",+249 (183) 776 701,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Eldaein University
|
Faculty of Medicine Faculty of Medical Laboratories School of Nursing Science Faculty of Engineering Faculty of Computer Science and IT Faculty of Dawah and Islamic Studies Faculty of Administrative Sciences Faculty of Animal Production Faculty of Community Development Faculty of Education School of Law Faculty of Graduate Studies",['Not reported']
297,Elisabeth University of Music,world rank  7230,"4-15 Nobori-cho
Hiroshima
730-0016 Hiroshima
Japan",+81 (82) 221 0918,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
298,"Elite- Escuela Latinoamericana de Ingenieros, Tecnologos y Empresarios",world rank  12201,"Calle 140 No. 18-23
Bogotá
Bogota
Colombia",+57 (1) 745 6435,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
299,Elizabeth City State University,world rank  6543,"1704 Weeksville Road
Elizabeth City
27909 North Carolina
United States",+1 (252) 335 3400,Men and Women (coed),Historically Black Institution,"Yes, international applicants are welcome to apply for admission",Public State,Non-Profit,"Association of Technology, Management, and Applied Engineering (ATMAE)
Engineering Technology Accreditation Commission (ETAC) of ABET
Council for the Accreditation of Educator Preparation (CAEP)","University of North Carolina System
American Association of State Colleges and Universities (AASCU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
300,Elizabethtown College,world rank  1550,"One Alpha Drive
Elizabethtown
17022-2298 Pennsylvania
United States",+1 (717) 361 1000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Accreditation Council for Business Schools and Programs (ACBSP)
American Chemical Society (ACS)
American Occupational Therapy Association (AOTA), Accreditation Council for Occupational Therapy Education (ACOTE)
Council on Social Work Education (CSWE)
Engineering Accreditation Commission (EAC) of ABET","Council of Independent Colleges (CIC)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
301,Elizade University,world rank  9201,"500 Wuraola Adeojo Street
Ilara-Mokin
340252 Ondo
Nigeria",+234 (810) 156 3682,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'financial aid']"
302,Elmergib University,world rank  10821,"Port Street
Al Khums
40414 Elmergib
Libya",+218,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,"Arab Universities Union
Mediterranean Universities Union","Elmergib University
|
Faculty of Engineering Faculty of Medicine Faculty of Public Health Faculty of Economics Faculty of Sconces Faculty of Pharmacy Faculty of Information Technology Faculty of Arts Faculty of Foreign Languages Faculty of Archaeology Faculty of Medical Technology Faculty of Law Faculty of Sharia Sciences","['library', 'housing']"
303,Elmhurst University,world rank  1357,"190 Prospect Avenue
Elmhurst
60126-3096 Illinois
United States",+1 (630) 279 4100,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Commission on Collegiate Nursing Education
Council on Academic Accreditation in Audiology and Speech-Language Pathology of the American Speech-Language-Hearing Association","Council of Independent Colleges (CIC)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
304,Elmira College,world rank  3154,"One Park Place
Elmira
14901 New York
United States",+1 (607) 735 1800,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Accreditation Commission for Education in Nursing, Inc. (ACEN)
Teacher Education Accreditation Council (TEAC)
Council for Accreditation of Educator Preparation (CAEP)","Council of Independent Colleges (CIC)
National Association of Independent Colleges and Universities (NAICU)
American Chemical Society (ACS)
Phi Beta Kappa
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
305,Elon University,world rank  779,"100 Campus Drive
Elon
27244-2010 North Carolina
United States",+1 (336) 278 2000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Association to Advance Collegiate Schools of Business (AACSB International)
Accrediting Council on Education in Journalism and Mass Communications (ACEJMC)
American Chemical Society (ACS)","National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
306,Elrazi University,world rank  12395,"Al Azhary City block No. 2
Khartoum
11111 Khartoum
Sudan",+249 (155) 124 002/3,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
307,Elsheikh Abdallah Elbadri University,world rank  7245,"PO Box 25
Berber
River Nile
Sudan",+249 0211833400,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Elsheikh Abdallah Elbadri University
|
Faculty of Medicine Faculty of Engineering Faculty of Pharmacy Faculty of Economy and Administration Sciences Faculty of Health Faculty of Science Faculty of Technology Faculty of Computer Science",['Not reported']
308,Embry-Riddle Aeronautical University,world rank  572,"600 South Clyde Morris Boulevard
Daytona Beach
32114-3900 Florida
United States",+1 (386) 226 6100,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Computing Accreditation Commission (CAC) of ABET
Engineering Accreditation Commission (EAC) of ABET
Engineering Technology Accreditation Commission (ETAC) of ABET
Accreditation Council for Business Schools and Programs (ACBSP)","Embry-Riddle Aeronautical University Inc.
Association of Independent Technological Universities (AITU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)
National Association of Intercollegiate Athletics (NAIA)",['Not reported']
309,Emerson College,world rank  1023,"120 Boylston Street
Boston
02116-4624 Massachusetts
United States",+1 (617) 824 8500,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"American Speech-Language-Hearing Association (ASHA)
Council on Academic Accreditation in Audiology and Speech-Language Pathology (CAA)","Council of Independent Colleges (CIC)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
